ring_m,ring_f,ring,couple_id,observer,year,brood_size,laying_date,laying_date_ymd,morph,sex,age,color_score_median,color_score_median_trans,color_score_median_trans_ord,morph_f,morph_m,parent_combination,color_score_median_f,color_score_median_trans_f,color_score_median_trans_ord_f,color_score_median_m,color_score_median_trans_m,color_score_median_trans_ord_m,colour_score_median_midparent,colour_score_median_midparent_trans,breed_snow_depth_mean,breed_snow_days_n,breed_temp_air_mean,breed_temp_air_CV
,615,710,327,a,2005,3,-1,2005-03-30,gray,female,2,5,4,2,gray,"",gray_NA,4,5,1,,,,,,4,5,6.67,0.53
,818,858,470,c,2016,4,-11,2016-03-20,brown,female,3,13,4,4,gray,"",gray_NA,8,1,5,,,,,,10.4,10,6.34,0.48
,842,876,482,c,2016,3,-6,2016-03-25,brown,female,2,10,1,1,gray,"",gray_NA,8,1,5,,,,,,7.4,5,7.55,0.6
,919,920,535,b,2018,3,17,2018-04-17,brown,male,3,13,4,4,brown,"",brown_NA,11,2,2,,,,,,0,0,13.25,0.38
1,33,105,606,a,1983,5,-12,1983-03-19,gray,female,4,6,3,3,brown,brown,brown_brown,11,2,2,11,2,2,11,2,9.6,15,4.93,0.64
7,48257,50093,573,"",1978,3,,,"","",,,,,"",gray,NA_gray,,,,7,2,4,,,0,0,,
7,111,115,663,a,1982,4,0,1982-03-31,gray,male,3,8,1,5,gray,gray,gray_gray,7,2,4,7,2,4,7,2,13.08,13,5.27,0.64
11,113,80043,667,"",1982,3,-12,1982-03-19,"","",,,,,gray,brown,gray_brown,8,1,5,10,1,1,9,1,19.44,25,3.78,0.58
11,113,101,667,a,1983,6,-21,1983-03-10,gray,female,3,8,1,5,gray,brown,gray_brown,8,1,5,10,1,1,9,1,9.88,24,2.99,0.31
30,101,135,652,a,1985,4,2,1985-04-02,gray,female,2,6,3,3,gray,gray,gray_gray,8,1,5,6,3,3,7,2,24.5,20,4.83,0.66
34,46265,36,570,a,1979,4,12,1979-04-12,gray,male,4,7,2,4,"",brown,NA_brown,,,,10,1,1,,,0,0,8.71,0.51
34,9,65,578,a,1982,5,-1,1982-03-30,gray,female,2,7,2,4,gray,brown,gray_brown,4,5,1,10,1,1,7,3,12.86,14,5.06,0.65
34,9,66,578,a,1982,5,-1,1982-03-30,gray,male,2,6,3,3,gray,brown,gray_brown,4,5,1,10,1,1,7,3,12.86,14,5.06,0.65
35,15,138,588,a,1985,2,14,1985-04-14,gray,female,2,7,2,4,gray,gray,gray_gray,7,2,4,7,2,4,7,2,13.38,8,7.55,0.65
35,15,141,588,a,1986,4,-29,1986-03-02,gray,female,3,6,3,3,gray,gray,gray_gray,7,2,4,7,2,4,7,2,44.35,31,-0.9,0.35
35,69,171,627,a,1983,4,-5,1983-03-26,brown,female,3,11,2,2,brown,gray,brown_gray,11,2,2,7,2,4,9,2,9.75,8,6.61,0.58
42,63,136,621,a,1985,3,5,1985-04-05,gray,male,2,7,2,4,gray,gray,gray_gray,5,4,2,6,3,3,5,3,22.82,17,5.75,0.68
73243,110,89,658,a,1982,3,1,1982-04-01,gray,male,2,6,3,3,gray,"",gray_NA,6,3,3,,,,,,12.92,12,5.48,0.65
73243,110,90,658,a,1982,3,1,1982-04-01,gray,male,2,5,4,2,gray,"",gray_NA,6,3,3,,,,,,12.92,12,5.48,0.65
44,328,290,94,a,1994,4,0,1994-03-31,gray,male,2,6,3,3,brown,gray,brown_gray,12,3,3,6,3,3,9,3,13.62,8,6.7,0.55
49,48,52,611,a,1979,4,8,1979-04-08,brown,female,4,10,1,1,brown,gray,brown_gray,11,2,2,5,4,2,8,3,0,0,7.52,0.54
50,52,116,612,a,1982,6,-1,1982-03-30,gray,female,2,5,4,2,brown,gray,brown_gray,10,1,1,5,4,2,7,2,12.86,14,5.06,0.65
50,52,117,612,a,1982,6,-1,1982-03-30,gray,male,2,6,3,3,brown,gray,brown_gray,10,1,1,5,4,2,7,2,12.86,14,5.06,0.65
54,155,222,704,a,1988,4,22,1988-04-22,gray,female,2,8,1,5,gray,gray,gray_gray,8,1,5,7,2,4,7,1,5,3,11.26,0.41
62,109,88,657,a,1982,4,2,1982-04-02,brown,female,2,11,2,2,gray,brown,gray_brown,6,3,3,12,3,3,9,3,13,11,5.65,0.66
66,111,175,664,a,1985,2,24,1985-04-24,gray,male,2,7,2,4,gray,gray,gray_gray,7,2,4,6,3,3,6,2,2.5,2,9.38,0.52
66,119,220,674,a,1988,3,-14,1988-03-17,gray,male,2,7,2,4,gray,gray,gray_gray,8,1,5,6,3,3,7,2,21.31,26,2.53,0.46
66,119,221,674,a,1988,3,-14,1988-03-17,gray,female,2,8,1,5,gray,gray,gray_gray,8,1,5,6,3,3,7,2,21.31,26,2.53,0.46
66,119,108659,674,"",1989,5,-32,1989-02-27,"","",,,,,gray,gray,gray_gray,8,1,5,6,3,3,7,2,4.38,8,2.66,0.63
66,170,338,715,a,1991,3,-8,1991-03-23,gray,female,2,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,1.4,5,4.4,0.54
66,170,339,715,a,1991,3,-8,1991-03-23,gray,male,2,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,1.4,5,4.4,0.54
66,170,344,715,a,1992,3,-24,1992-03-07,gray,female,3,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,3.93,27,1.72,0.54
66,170,361,715,a,1994,3,-10,1994-03-21,gray,male,3,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,17,18,4.98,0.41
66,222,334,26,a,1990,4,-6,1990-03-25,gray,female,2,7,2,4,gray,gray,gray_gray,8,1,5,6,3,3,7,2,3,2,7.28,0.52
66,222,335,26,a,1990,4,-6,1990-03-25,gray,male,3,6,3,3,gray,gray,gray_gray,8,1,5,6,3,3,7,2,3,2,7.28,0.52
79990,79961,125,79961_79990,a,1985,4,2,1985-04-02,gray,male,4,6,3,3,"","",NA_NA,,,,,,,,,24.5,20,4.83,0.66
73,9,75,579,a,1980,3,11,1980-04-11,gray,male,3,8,1,5,gray,gray,gray_gray,4,5,1,6,3,3,5,4,2,3,8.1,0.66
87,52,107,613,a,1983,3,-8,1983-03-23,gray,male,3,7,2,4,brown,gray,brown_gray,10,1,1,6,3,3,8,2,11.18,11,5.92,0.62
93,94,104,645,b,1983,5,-13,1983-03-18,gray,male,5,7,2,4,gray,gray,gray_gray,6,3,3,5,4,2,5,3,9.31,16,4.77,0.65
104,209,107833,11,"",1987,4,15,1987-04-15,"","",,,,,gray,gray,gray_gray,5,4,2,7,2,4,6,3,0,0,7.79,0.45
104,209,210,11,a,1987,4,15,1987-04-15,gray,female,2,7,2,4,gray,gray,gray_gray,5,4,2,7,2,4,6,3,0,0,7.79,0.45
107,172,137,717,a,1985,2,10,1985-04-10,brown,female,2,12,3,3,gray,gray,gray_gray,7,2,4,7,2,4,7,2,19.25,12,6.83,0.59
80189,24,139,597,a,1985,4,18,1985-04-18,brown,male,2,10,1,1,brown,"",brown_NA,13,4,4,,,,,,4.5,4,8.19,0.58
132,156,333,705,a,1990,3,0,1990-03-31,gray,male,3,6,3,3,gray,gray,gray_gray,6,3,3,7,2,4,6,2,3,2,7.99,0.43
132,310,345,78,a,1992,3,4,1992-04-04,gray,female,3,8,1,5,brown,gray,brown_gray,13,4,4,7,2,4,10,3,3.12,8,6.89,0.58
145,118,341,672,a,1991,4,-5,1991-03-26,gray,female,2,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,1.5,4,4.76,0.51
145,118,342,672,a,1991,4,-5,1991-03-26,gray,female,2,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,1.5,4,4.76,0.51
145,118,444,672,b,1995,4,-22,1995-03-09,gray,male,3,4,5,1,gray,gray,gray_gray,6,3,3,6,3,3,6,3,10.58,36,2.21,0.66
158,221,228,24,a,1989,5,-37,1989-02-22,brown,male,3,13,4,4,gray,brown,gray_brown,8,1,5,12,3,3,10,2,10.54,13,2.12,0.63
164,295,25,67,a,1991,3,-2,1991-03-29,gray,female,3,8,1,5,gray,gray,gray_gray,6,3,3,6,3,3,6,3,1.5,4,5.19,0.52
175,94,218,646,b,1987,3,24,1987-04-24,gray,female,4,5,4,2,gray,gray,gray_gray,6,3,3,7,2,4,6,2,0,0,9.34,0.34
175,94,219,646,b,1987,3,24,1987-04-24,gray,female,4,7,2,4,gray,gray,gray_gray,6,3,3,7,2,4,6,2,0,0,9.34,0.34
175,94,227,646,a,1988,5,3,1988-04-03,gray,male,2,6,3,3,gray,gray,gray_gray,6,3,3,7,2,4,6,2,5.33,9,6.69,0.61
178,177,207,720,a,1988,6,0,1988-03-31,gray,male,2,5,4,2,gray,gray,gray_gray,6,3,3,7,2,4,6,2,9.08,12,5.94,0.6
178,177,364,720,a,1994,5,-13,1994-03-18,gray,female,3,7,2,4,gray,gray,gray_gray,6,3,3,7,2,4,6,2,16.9,21,4.39,0.45
178,177,405,720,b,1992,4,-18,1992-03-13,gray,female,3,6,3,3,gray,gray,gray_gray,6,3,3,7,2,4,6,2,4.43,23,2.4,0.61
178,437,474,179,a,1999,3,-3,1999-03-28,gray,male,2,7,2,4,gray,gray,gray_gray,6,3,3,7,2,4,6,2,16.09,11,5.89,0.62
179,21,182,593,b,1987,3,17,1987-04-17,gray,female,2,7,2,4,gray,gray,gray_gray,6,3,3,7,2,4,6,2,0,0,8.08,0.44
179,21,183,593,b,1987,3,17,1987-04-17,gray,female,3,6,3,3,gray,gray,gray_gray,6,3,3,7,2,4,6,2,0,0,8.08,0.44
179,21,184,593,b,1987,3,17,1987-04-17,gray,female,2,7,2,4,gray,gray,gray_gray,6,3,3,7,2,4,6,2,0,0,8.08,0.44
