ring_m,ring_f,ring,couple_id,observer,year,brood_size,laying_date,laying_date_ymd,morph,sex,age,color_score_median,color_score_median_trans,color_score_median_trans_ord,morph_f,morph_m,parent_combination,color_score_median_f,color_score_median_trans_f,color_score_median_trans_ord_f,color_score_median_m,color_score_median_trans_m,color_score_median_trans_ord_m,colour_score_median_midparent,colour_score_median_midparent_trans,breed_snow_depth_mean,breed_snow_days_n,breed_temp_air_mean,breed_temp_air_CV
315,314,318,82,b,1989,5,-15,1989-03-16,gray,male,3,6,3,3,gray,gray,gray_gray,7,2,4,7,2,4,7,2,1,1,5.16,0.58
318,384,386,138,b,1994,3,2,1994-04-02,gray,female,2,5,4,2,gray,gray,gray_gray,6,3,3,6,3,3,6,3,10.17,6,6.92,0.52
318,384,483,138,a,1995,2,-9,1995-03-22,gray,male,3,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,9.83,23,3.37,0.57
339,313,346,81,a,1992,2,14,1992-04-14,gray,male,3,6,3,3,brown,gray,brown_gray,11,2,2,6,3,3,8,2,3.43,7,9.43,0.52
339,313,435,81,a,1994,4,-3,1994-03-28,brown,male,3,10,1,1,brown,gray,brown_gray,11,2,2,6,3,3,8,2,16.27,11,6.13,0.39
340,352,473,115,a,1999,5,-7,1999-03-24,gray,female,3,6,3,3,brown,gray,brown_gray,12,3,3,6,3,3,9,3,21.87,15,5.09,0.55
346,331,519,97,b,2000,3,12,2000-04-12,gray,male,5,6,3,3,gray,gray,gray_gray,7,2,4,6,3,3,6,2,0,0,10.28,0.32
346,331,561,97,a,2001,4,9,2001-04-09,gray,female,2,7,2,4,gray,gray,gray_gray,7,2,4,6,3,3,6,2,4.25,4,8.56,0.43
353,328,454,92,b,1996,2,28,1996-04-28,brown,male,2,13,4,4,brown,gray,brown_gray,12,3,3,6,3,3,9,3,0,0,10.75,0.37
361,356,556,121,a,2001,3,4,2001-04-04,gray,female,2,7,2,4,gray,gray,gray_gray,6,3,3,6,3,3,6,3,4.25,4,8.06,0.46
363,448,462,186,a,1997,1,-11,1997-03-20,brown,male,2,13,4,4,brown,gray,brown_gray,11,2,2,6,3,3,8,2,4.58,12,2.64,0.53
363,448,488,186,a,1998,3,-7,1998-03-24,gray,male,2,8,1,5,brown,gray,brown_gray,11,2,2,6,3,3,8,2,3.5,4,5.42,0.53
380,337,381,104,b,1992,3,-5,1992-03-26,gray,male,2,8,1,5,gray,gray,gray_gray,6,3,3,8,1,5,7,2,5.06,16,4.35,0.65
399,398,288,157,b,1993,3,-3,1993-03-28,gray,female,2,7,2,4,gray,gray,gray_gray,6,3,3,7,2,4,6,2,1,2,7.82,0.64
400,256,401,43,b,1993,2,14,1993-04-14,gray,male,2,7,2,4,gray,brown,gray_brown,6,3,3,13,4,4,9,3,0,0,10.68,0.42
401,212,425,16,b,1995,2,-1,1995-03-30,gray,male,3,7,2,4,brown,gray,brown_gray,11,2,2,7,2,4,9,2,10.47,15,4.8,0.53
418,564,644,284,a,2004,3,2,2004-04-02,brown,male,4,11,2,2,gray,brown,gray_brown,6,3,3,13,4,4,9,3,0,0,7.63,0.45
421,417,195117,170,"",2001,4,-3,2001-03-28,"","",,,,,gray,gray,gray_gray,8,1,5,6,3,3,7,2,6,9,7.31,0.5
425,403,500,159,b,1997,5,-10,1997-03-21,brown,female,2,13,4,4,brown,gray,brown_gray,13,4,4,7,2,4,10,3,4.91,11,2.94,0.51
425,403,501,159,b,1997,5,-10,1997-03-21,brown,female,6,12,3,3,brown,gray,brown_gray,13,4,4,7,2,4,10,3,4.91,11,2.94,0.51
429,115470,505,34,b,1997,5,-11,1997-03-20,gray,male,3,6,3,3,"",brown,NA_brown,,,,13,4,4,,,4.58,12,2.64,0.53
439,200,446,5,a,1995,4,-14,1995-03-17,brown,female,2,12,3,3,brown,gray,brown_gray,13,4,4,6,3,3,9,3,10.5,28,2.99,0.6
452,364,461,125,b,1997,4,-4,1997-03-27,brown,female,4,10,1,1,gray,brown,gray_brown,7,2,4,12,3,3,9,2,5.67,9,4.27,0.67
455,341,460,107,a,1997,4,-15,1997-03-16,gray,female,3,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,4.58,12,1.32,0.53
455,341,466,107,b,1998,4,-1,1998-03-30,gray,female,4,5,4,2,gray,gray,gray_gray,6,3,3,6,3,3,6,3,3.5,4,6.21,0.48
455,341,467,107,b,1998,4,-1,1998-03-30,gray,male,5,4,5,1,gray,gray,gray_gray,6,3,3,6,3,3,6,3,3.5,4,6.21,0.48
455,341,629,107,a,2002,4,-10,2002-03-21,gray,female,2,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,3,2,7.04,0.59
457,328,540,93,a,2000,4,-10,2000-03-21,brown,female,3,10,1,1,brown,brown,brown_brown,12,3,3,12,3,3,12,3,1.75,4,6.09,0.57
457,667,674,366,a,2006,3,-15,2006-03-16,brown,female,3,13,4,4,brown,brown,brown_brown,13,4,4,12,3,3,12,3,16,23,3.52,0.55
457,667,675,366,a,2006,3,-15,2006-03-16,brown,male,3,13,4,4,brown,brown,brown_brown,13,4,4,12,3,3,12,3,16,23,3.52,0.55
